DATE,TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,CONTRIBUTING_FACTOR_VEHICLE_4,CONTRIBUTING_FACTOR_VEHICLE_5,UNIQUE_KEY,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,VEHICLE_TYPE_CODE_3,VEHICLE_TYPE_CODE_4,VEHICLE_TYPE_CODE_5
04/10/2018,11:15,,,40.60023,-73.9956,"(40.60023, -73.9956)",BAY PARKWAY                     ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3878291,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/10/2018,11:15,,,40.706142,-74.00603,"(40.706142, -74.00603)",MAIDEN LANE                     ,,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3878767,PASSENGER VEHICLE,TK,,,
04/10/2018,11:20,MANHATTAN,10022,,,,MADISON AVENUE                  ,EAST 56 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3878342,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/10/2018,11:20,QUEENS,11354,40.757183,-73.83396,"(40.757183, -73.83396)",COLLEGE POINT BOULEVARD         ,40 ROAD,,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,3878669,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/10/2018,11:25,MANHATTAN,10035,40.804066,-73.93267,"(40.804066, -73.93267)",2 AVENUE                        ,EAST 127 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3878606,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/10/2018,11:25,,,,,,,,,2,0,0,0,0,0,2,0,Unsafe Lane Changing,Unsafe Lane Changing,Unspecified,,,3878047,PASSENGER VEHICLE,PASSENGER VEHICLE,TAXI,,
04/10/2018,11:30,QUEENS,11418,40.707287,-73.83548,"(40.707287, -73.83548)",,,116-22    METROPOLITAN AVENUE           ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3878569,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/10/2018,11:35,QUEENS,11423,40.711494,-73.76418,"(40.711494, -73.76418)",,,195-09    CARPENTER AVENUE              ,0,0,0,0,0,0,0,0,Unspecified,,,,,3878071,PASSENGER VEHICLE,,,,
04/10/2018,11:40,MANHATTAN,10032,40.833138,-73.942665,"(40.833138, -73.942665)",,,511       WEST 157 STREET               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3879171,ST,SPORT UTILITY / STATION WAGON,,,
04/10/2018,11:40,QUEENS,11694,40.57722,-73.8417,"(40.57722, -73.8417)",,,170       BEACH 122 STREET              ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3879033,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/10/2018,11:45,,,40.583275,-73.982254,"(40.583275, -73.982254)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3878095,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/10/2018,11:46,,,40.780437,-73.94989,"(40.780437, -73.94989)",2 AVENUE                        ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3878673,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/10/2018,11:50,BROOKLYN,11208,40.66913,-73.88139,"(40.66913, -73.88139)",,,656       LINWOOD STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3879309,SPORT UTILITY / STATION WAGON,,,,
04/10/2018,11:50,,,40.73066,-73.87506,"(40.73066, -73.87506)",LIE OUTER ROADWAY (CDR)         ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3878038,SPORT UTILITY / STATION WAGON,TAXI,,,
04/10/2018,11:54,BROOKLYN,11215,40.66803,-73.983955,"(40.66803, -73.983955)",6 AVENUE                        ,9 STREET,,0,0,0,0,0,0,0,0,,,,,,3879439,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
04/10/2018,11:58,MANHATTAN,10001,40.747234,-73.99337,"(40.747234, -73.99337)",WEST 28 STREET                  ,7 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3878851,TK,PASSENGER VEHICLE,,,
04/10/2018,11:59,MANHATTAN,10034,40.869034,-73.91728,"(40.869034, -73.91728)",,,5030      BROADWAY                      ,0,0,0,0,0,0,0,0,View Obstructed/Limited,Passing or Lane Usage Improper,,,,3878591,BU,PASSENGER VEHICLE,,,
04/10/2018,11:59,,,40.681503,-73.904106,"(40.681503, -73.904106)",BUSHWICK AVENUE                 ,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3878195,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/10/2018,12:00,BROOKLYN,11208,40.680016,-73.87743,"(40.680016, -73.87743)",ATLANTIC AVENUE                 ,LOGAN STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3878111,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/10/2018,12:00,BROOKLYN,11232,40.655273,-74.0105,"(40.655273, -74.0105)",39 STREET                       ,2 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3879943,PASSENGER VEHICLE,,,,
04/10/2018,12:00,MANHATTAN,10004,40.705,-74.012474,"(40.705, -74.012474)",,,15        BEAVER STREET                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3878759,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
04/10/2018,12:00,QUEENS,11367,40.728058,-73.81272,"(40.728058, -73.81272)",,,155-16    AGUILAR AVENUE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3878687,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/10/2018,12:00,,,40.768024,-73.97029,"(40.768024, -73.97029)",5 AVENUE                        ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3878344,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/10/2018,12:00,,,40.691017,-73.954475,"(40.691017, -73.954475)",SPENCER STREET                  ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3879468,SPORT UTILITY / STATION WAGON,PK,,,
04/10/2018,12:00,MANHATTAN,10033,40.84654,-73.93521,"(40.84654, -73.93521)",,,586       WEST 177 STREET               ,1,0,1,0,0,0,0,0,Unspecified,,,,,3879224,PASSENGER VEHICLE,,,,
04/10/2018,12:00,STATEN ISLAND,10310,40.63021,-74.123886,"(40.63021, -74.123886)",,,420       CLOVE ROAD                    ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,3879058,PASSENGER VEHICLE,,,,
